Test NFA, number of states = 16 propogating length = 32
experiment No = 665, UNSAT, testing length = 32
experiment No = 666, UNSAT, testing length = 32
experiment No = 667, UNSAT, testing length = 32
experiment No = 668, UNSAT, testing length = 32
experiment No = 669, UNSAT, testing length = 32
experiment No = 670, UNSAT, testing length = 32
experiment No = 671, UNSAT, testing length = 32
experiment No = 672, UNSAT, testing length = 32
experiment No = 673, UNSAT, testing length = 32
experiment No = 674, UNSAT, testing length = 32
experiment No = 675, UNSAT, testing length = 32
experiment No = 676, UNSAT, testing length = 32
experiment No = 677, UNSAT, testing length = 32
experiment No = 678, UNSAT, testing length = 32
experiment No = 679, UNSAT, testing length = 32
experiment No = 680, UNSAT, testing length = 32
experiment No = 681, UNSAT, testing length = 32
experiment No = 682, UNSAT, testing length = 32
experiment No = 683, UNSAT, testing length = 32
experiment No = 684, UNSAT, testing length = 32
experiment No = 685, UNSAT, testing length = 32
experiment No = 686, UNSAT, testing length = 32
experiment No = 687, UNSAT, testing length = 32
experiment No = 688, UNSAT, testing length = 32
experiment No = 689, UNSAT, testing length = 32
experiment No = 690, UNSAT, testing length = 32
experiment No = 691, UNSAT, testing length = 32
experiment No = 692, UNSAT, testing length = 32
experiment No = 693, UNSAT, testing length = 32
experiment No = 694, UNSAT, testing length = 32
experiment No = 695, UNSAT, testing length = 32
experiment No = 696, UNSAT, testing length = 32
experiment No = 697, UNSAT, testing length = 32
experiment No = 698, UNSAT, testing length = 32
experiment No = 699, UNSAT, testing length = 32
experiment No = 700, UNSAT, testing length = 32
experiment No = 701, UNSAT, testing length = 32
experiment No = 702, UNSAT, testing length = 32
experiment No = 703, UNSAT, testing length = 32
experiment No = 704, UNSAT, testing length = 32
experiment No = 705, UNSAT, testing length = 32
experiment No = 706, UNSAT, testing length = 32
experiment No = 707, UNSAT, testing length = 32
experiment No = 708, UNSAT, testing length = 32
experiment No = 709, UNSAT, testing length = 32
experiment No = 710, UNSAT, testing length = 32
experiment No = 711, UNSAT, testing length = 32
experiment No = 712, UNSAT, testing length = 32
experiment No = 713, UNSAT, testing length = 32
experiment No = 714, UNSAT, testing length = 32
experiment No = 715, UNSAT, testing length = 32
experiment No = 716, UNSAT, testing length = 32
experiment No = 717, UNSAT, testing length = 32
experiment No = 718, UNSAT, testing length = 32
experiment No = 719, UNSAT, testing length = 32
experiment No = 720, UNSAT, testing length = 32
experiment No = 721, UNSAT, testing length = 32
experiment No = 722, UNSAT, testing length = 32
experiment No = 723, UNSAT, testing length = 32
experiment No = 724, UNSAT, testing length = 32
experiment No = 725, UNSAT, testing length = 32
experiment No = 726, UNSAT, testing length = 32
experiment No = 727, UNSAT, testing length = 32
experiment No = 728, UNSAT, testing length = 32
experiment No = 729, UNSAT, testing length = 32
experiment No = 730, UNSAT, testing length = 32
experiment No = 731, UNSAT, testing length = 32
experiment No = 732, UNSAT, testing length = 32
experiment No = 733, UNSAT, testing length = 32
experiment No = 734, UNSAT, testing length = 32
experiment No = 735, UNSAT, testing length = 32
experiment No = 736, UNSAT, testing length = 32
experiment No = 737, UNSAT, testing length = 32
experiment No = 738, UNSAT, testing length = 32
experiment No = 739, UNSAT, testing length = 32
experiment No = 740, UNSAT, testing length = 32
experiment No = 741, UNSAT, testing length = 32
experiment No = 742, UNSAT, testing length = 32
experiment No = 743, UNSAT, testing length = 32
experiment No = 744, UNSAT, testing length = 32
experiment No = 745, UNSAT, testing length = 32
experiment No = 746, UNSAT, testing length = 32
experiment No = 747, UNSAT, testing length = 32
experiment No = 748, UNSAT, testing length = 32
experiment No = 749, UNSAT, testing length = 32
experiment No = 750, UNSAT, testing length = 32
experiment No = 751, UNSAT, testing length = 32
experiment No = 752, UNSAT, testing length = 32
experiment No = 753, UNSAT, testing length = 32
experiment No = 754, UNSAT, testing length = 32
experiment No = 755, UNSAT, testing length = 32
experiment No = 756, UNSAT, testing length = 32
experiment No = 757, UNSAT, testing length = 32
experiment No = 758, UNSAT, testing length = 32
experiment No = 759, UNSAT, testing length = 32
experiment No = 760, UNSAT, testing length = 32
experiment No = 761, UNSAT, testing length = 32
experiment No = 762, UNSAT, testing length = 32
experiment No = 763, UNSAT, testing length = 32
experiment No = 764, UNSAT, testing length = 32
experiment No = 765, UNSAT, testing length = 32
experiment No = 766, UNSAT, testing length = 32
experiment No = 767, UNSAT, testing length = 32
experiment No = 768, UNSAT, testing length = 32
experiment No = 769, UNSAT, testing length = 32
experiment No = 770, UNSAT, testing length = 32
experiment No = 771, UNSAT, testing length = 32
experiment No = 772, UNSAT, testing length = 32
experiment No = 773, UNSAT, testing length = 32
experiment No = 774, UNSAT, testing length = 32
experiment No = 775, UNSAT, testing length = 32
experiment No = 776, UNSAT, testing length = 32
experiment No = 777, UNSAT, testing length = 32
experiment No = 778, UNSAT, testing length = 32
experiment No = 779, UNSAT, testing length = 32
experiment No = 780, UNSAT, testing length = 32
experiment No = 781, UNSAT, testing length = 32
experiment No = 782, UNSAT, testing length = 32
experiment No = 783, UNSAT, testing length = 32
experiment No = 784, UNSAT, testing length = 32
experiment No = 785, UNSAT, testing length = 32
experiment No = 786, UNSAT, testing length = 32
experiment No = 787, UNSAT, testing length = 32
experiment No = 788, UNSAT, testing length = 32
experiment No = 789, UNSAT, testing length = 32
experiment No = 790, UNSAT, testing length = 32
experiment No = 791, UNSAT, testing length = 32
experiment No = 792, UNSAT, testing length = 32
experiment No = 793, UNSAT, testing length = 32
experiment No = 794, UNSAT, testing length = 32
experiment No = 795, UNSAT, testing length = 32
experiment No = 796, UNSAT, testing length = 32
experiment No = 797, UNSAT, testing length = 32
experiment No = 798, UNSAT, testing length = 32
experiment No = 799, UNSAT, testing length = 32
experiment No = 800, UNSAT, testing length = 32
experiment No = 801, UNSAT, testing length = 32
experiment No = 802, UNSAT, testing length = 32
experiment No = 803, UNSAT, testing length = 32
experiment No = 804, UNSAT, testing length = 32
experiment No = 805, UNSAT, testing length = 32
experiment No = 806, UNSAT, testing length = 32
experiment No = 807, UNSAT, testing length = 32
experiment No = 808, UNSAT, testing length = 32
experiment No = 809, UNSAT, testing length = 32
experiment No = 810, UNSAT, testing length = 32
experiment No = 811, UNSAT, testing length = 32
experiment No = 812, UNSAT, testing length = 32
experiment No = 813, UNSAT, testing length = 32
experiment No = 814, UNSAT, testing length = 32
experiment No = 815, UNSAT, testing length = 32
experiment No = 816, UNSAT, testing length = 32
experiment No = 817, UNSAT, testing length = 32
experiment No = 818, UNSAT, testing length = 32
experiment No = 819, UNSAT, testing length = 32
experiment No = 820, UNSAT, testing length = 32
experiment No = 821, UNSAT, testing length = 32
experiment No = 822, UNSAT, testing length = 32
experiment No = 823, UNSAT, testing length = 32
experiment No = 824, UNSAT, testing length = 32
experiment No = 825, UNSAT, testing length = 32
experiment No = 826, UNSAT, testing length = 32
experiment No = 827, UNSAT, testing length = 32
experiment No = 828, UNSAT, testing length = 32
experiment No = 829, UNSAT, testing length = 32
experiment No = 830, UNSAT, testing length = 32
experiment No = 831, UNSAT, testing length = 32
experiment No = 832, UNSAT, testing length = 32
experiment No = 833, UNSAT, testing length = 32
experiment No = 834, UNSAT, testing length = 32
experiment No = 835, UNSAT, testing length = 32
experiment No = 836, UNSAT, testing length = 32
experiment No = 837, UNSAT, testing length = 32
experiment No = 838, UNSAT, testing length = 32
experiment No = 839, UNSAT, testing length = 32
experiment No = 840, UNSAT, testing length = 32
experiment No = 841, UNSAT, testing length = 32
experiment No = 842, UNSAT, testing length = 32
experiment No = 843, UNSAT, testing length = 32
experiment No = 844, UNSAT, testing length = 32
experiment No = 845, UNSAT, testing length = 32
experiment No = 846, UNSAT, testing length = 32
experiment No = 847, UNSAT, testing length = 32
experiment No = 848, UNSAT, testing length = 32
experiment No = 849, UNSAT, testing length = 32
experiment No = 850, UNSAT, testing length = 32
experiment No = 851, UNSAT, testing length = 32
experiment No = 852, UNSAT, testing length = 32
experiment No = 853, UNSAT, testing length = 32
experiment No = 854, UNSAT, testing length = 32
experiment No = 855, UNSAT, testing length = 32
experiment No = 856, UNSAT, testing length = 32
experiment No = 857, UNSAT, testing length = 32
experiment No = 858, UNSAT, testing length = 32
experiment No = 859, UNSAT, testing length = 32
experiment No = 860, UNSAT, testing length = 32
experiment No = 861, UNSAT, testing length = 32
experiment No = 862, UNSAT, testing length = 32
experiment No = 863, UNSAT, testing length = 32
experiment No = 864, UNSAT, testing length = 32
experiment No = 865, UNSAT, testing length = 32
experiment No = 866, UNSAT, testing length = 32
experiment No = 867, UNSAT, testing length = 32
experiment No = 868, UNSAT, testing length = 32
experiment No = 869, UNSAT, testing length = 32
experiment No = 870, UNSAT, testing length = 32
experiment No = 871, UNSAT, testing length = 32
experiment No = 872, UNSAT, testing length = 32
experiment No = 873, UNSAT, testing length = 32
experiment No = 874, UNSAT, testing length = 32
experiment No = 875, UNSAT, testing length = 32
experiment No = 876, UNSAT, testing length = 32
experiment No = 877, UNSAT, testing length = 32
experiment No = 878, UNSAT, testing length = 32
experiment No = 879, UNSAT, testing length = 32
experiment No = 880, UNSAT, testing length = 32
experiment No = 881, UNSAT, testing length = 32
experiment No = 882, UNSAT, testing length = 32
experiment No = 883, UNSAT, testing length = 32
experiment No = 884, UNSAT, testing length = 32
experiment No = 885, UNSAT, testing length = 32
experiment No = 886, UNSAT, testing length = 32
experiment No = 887, UNSAT, testing length = 32
experiment No = 888, UNSAT, testing length = 32
experiment No = 889, UNSAT, testing length = 32
experiment No = 890, UNSAT, testing length = 32
experiment No = 891, UNSAT, testing length = 32
experiment No = 892, UNSAT, testing length = 32
experiment No = 893, UNSAT, testing length = 32
experiment No = 894, UNSAT, testing length = 32
experiment No = 895, UNSAT, testing length = 32
experiment No = 896, UNSAT, testing length = 32
experiment No = 897, UNSAT, testing length = 32
experiment No = 898, UNSAT, testing length = 32
experiment No = 899, UNSAT, testing length = 32
experiment No = 900, UNSAT, testing length = 32
experiment No = 901, UNSAT, testing length = 32
experiment No = 902, UNSAT, testing length = 32
experiment No = 903, UNSAT, testing length = 32
experiment No = 904, UNSAT, testing length = 32
experiment No = 905, UNSAT, testing length = 32
experiment No = 906, UNSAT, testing length = 32
experiment No = 907, UNSAT, testing length = 32
experiment No = 908, UNSAT, testing length = 32
experiment No = 909, UNSAT, testing length = 32
experiment No = 910, UNSAT, testing length = 32
experiment No = 911, UNSAT, testing length = 32
experiment No = 912, UNSAT, testing length = 32
experiment No = 913, UNSAT, testing length = 32
experiment No = 914, UNSAT, testing length = 32
experiment No = 915, UNSAT, testing length = 32
experiment No = 916, UNSAT, testing length = 32
experiment No = 917, UNSAT, testing length = 32
experiment No = 918, UNSAT, testing length = 32
experiment No = 919, UNSAT, testing length = 32
experiment No = 920, UNSAT, testing length = 32
experiment No = 921, UNSAT, testing length = 32
experiment No = 922, UNSAT, testing length = 32
experiment No = 923, UNSAT, testing length = 32
experiment No = 924, UNSAT, testing length = 32
experiment No = 925, UNSAT, testing length = 32
experiment No = 926, UNSAT, testing length = 32
experiment No = 927, UNSAT, testing length = 32
experiment No = 928, UNSAT, testing length = 32
experiment No = 929, UNSAT, testing length = 32
experiment No = 930, UNSAT, testing length = 32
experiment No = 931, UNSAT, testing length = 32
experiment No = 932, UNSAT, testing length = 32
experiment No = 933, UNSAT, testing length = 32
experiment No = 934, UNSAT, testing length = 32
experiment No = 935, UNSAT, testing length = 32
experiment No = 936, UNSAT, testing length = 32
experiment No = 937, UNSAT, testing length = 32
experiment No = 938, UNSAT, testing length = 32
experiment No = 939, UNSAT, testing length = 32
experiment No = 940, UNSAT, testing length = 32
experiment No = 941, UNSAT, testing length = 32
experiment No = 942, UNSAT, testing length = 32
experiment No = 943, UNSAT, testing length = 32
experiment No = 944, UNSAT, testing length = 32
experiment No = 945, UNSAT, testing length = 32
experiment No = 946, UNSAT, testing length = 32
experiment No = 947, UNSAT, testing length = 32
experiment No = 948, UNSAT, testing length = 32
experiment No = 949, UNSAT, testing length = 32
experiment No = 950, UNSAT, testing length = 32
experiment No = 951, UNSAT, testing length = 32
experiment No = 952, UNSAT, testing length = 32
experiment No = 953, UNSAT, testing length = 32
experiment No = 954, UNSAT, testing length = 32
experiment No = 955, UNSAT, testing length = 32
experiment No = 956, UNSAT, testing length = 32
experiment No = 957, UNSAT, testing length = 32
experiment No = 958, UNSAT, testing length = 32
experiment No = 959, UNSAT, testing length = 32
experiment No = 960, UNSAT, testing length = 32
experiment No = 961, UNSAT, testing length = 32
experiment No = 962, UNSAT, testing length = 32
experiment No = 963, UNSAT, testing length = 32
experiment No = 964, UNSAT, testing length = 32
experiment No = 965, UNSAT, testing length = 32
experiment No = 966, UNSAT, testing length = 32
experiment No = 967, UNSAT, testing length = 32
experiment No = 968, UNSAT, testing length = 32
experiment No = 969, UNSAT, testing length = 32
experiment No = 970, UNSAT, testing length = 32
experiment No = 971, UNSAT, testing length = 32
experiment No = 972, UNSAT, testing length = 32
experiment No = 973, UNSAT, testing length = 32
experiment No = 974, UNSAT, testing length = 32
experiment No = 975, UNSAT, testing length = 32
experiment No = 976, UNSAT, testing length = 32
experiment No = 977, UNSAT, testing length = 32
experiment No = 978, UNSAT, testing length = 32
experiment No = 979, UNSAT, testing length = 32
experiment No = 980, UNSAT, testing length = 32
experiment No = 981, UNSAT, testing length = 32
experiment No = 982, UNSAT, testing length = 32
experiment No = 983, UNSAT, testing length = 32
experiment No = 984, UNSAT, testing length = 32
experiment No = 985, UNSAT, testing length = 32
experiment No = 986, UNSAT, testing length = 32
experiment No = 987, UNSAT, testing length = 32
experiment No = 988, UNSAT, testing length = 32
experiment No = 989, UNSAT, testing length = 32
experiment No = 990, UNSAT, testing length = 32
experiment No = 991, UNSAT, testing length = 32
experiment No = 992, UNSAT, testing length = 32
experiment No = 993, UNSAT, testing length = 32
experiment No = 994, UNSAT, testing length = 32
experiment No = 995, UNSAT, testing length = 32
experiment No = 996, UNSAT, testing length = 32
experiment No = 997, UNSAT, testing length = 32
experiment No = 998, UNSAT, testing length = 32
experiment No = 999, UNSAT, testing length = 32
experiment No = 1000, UNSAT, testing length = 32
